order_id,product,region,salesperson,quantity,unit_price,month,total_amount
1,Monitor,South,SP12,2,121,Jun,242
2,Monitor,West,SP10,13,303,Jun,3939
3,Tablet,West,SP1,15,1146,Feb,17190
4,Phone,West,SP7,6,597,Mar,3582
5,Tablet,East,SP7,11,508,Mar,5588
6,Monitor,West,SP2,3,351,Jan,1053
7,Phone,West,SP9,4,947,Mar,3788
8,Monitor,West,SP3,9,414,Feb,3726
9,Laptop,South,SP6,9,206,Mar,1854
10,Phone,East,SP5,13,1186,Feb,15418
11,Laptop,West,SP7,7,1093,Feb,7651
12,Monitor,East,SP6,13,147,Apr,1911
13,Tablet,East,SP3,11,1050,May,11550
14,Mouse,South,SP2,5,528,Apr,2640
15,Monitor,West,SP7,5,64,Feb,320
16,Laptop,West,SP12,13,989,May,12857
17,Monitor,North,SP2,7,1101,Apr,7707
18,Monitor,South,SP2,4,336,Feb,1344
19,Keyboard,North,SP12,12,956,Jan,11472
20,Keyboard,North,SP1,13,277,Feb,3601
21,Keyboard,North,SP11,12,642,Feb,7704
22,Mouse,East,SP9,11,915,Jun,10065
23,Laptop,North,SP2,5,1094,May,5470
24,Phone,West,SP5,4,22,Jan,88
25,Keyboard,East,SP8,5,667,Jun,3335
26,Phone,West,SP9,4,1140,Feb,4560
27,Laptop,West,SP12,11,649,Jan,7139
28,Laptop,South,SP8,15,880,Jan,13200
29,Tablet,South,SP11,7,778,Feb,5446
30,Monitor,North,SP12,6,881,Mar,5286
31,Mouse,West,SP4,1,618,Jun,618
32,Keyboard,North,SP4,8,430,Mar,3440
33,Phone,South,SP8,4,562,Mar,2248
34,Laptop,West,SP10,3,477,Apr,1431
35,Monitor,North,SP10,3,825,Jan,2475
36,Phone,North,SP10,3,870,Jan,2610
37,Mouse,North,SP3,7,940,Jun,6580
38,Tablet,North,SP2,15,359,Mar,5385
39,Phone,South,SP11,15,1094,Jun,16410
40,Monitor,North,SP5,11,795,Mar,8745
41,Tablet,West,SP3,2,25,Jan,50
42,Tablet,North,SP6,7,273,May,1911
43,Phone,West,SP6,13,652,Apr,8476
44,Laptop,North,SP12,8,420,Mar,3360
45,Keyboard,West,SP4,6,765,Jun,4590
46,Monitor,North,SP11,7,527,Jun,3689
47,Monitor,North,SP7,1,970,Jan,970
48,Laptop,East,SP4,12,148,May,1776
49,Tablet,East,SP5,6,109,Mar,654
50,Mouse,East,SP5,5,27,Jun,135
51,Keyboard,North,SP1,14,498,Jan,6972
52,Monitor,West,SP7,13,534,Apr,6942
53,Monitor,South,SP8,3,37,Jun,111
54,Tablet,South,SP10,4,691,Mar,2764
55,Monitor,East,SP10,2,1068,Feb,2136
56,Monitor,South,SP4,7,152,Jun,1064
57,Laptop,West,SP9,9,687,Feb,6183
58,Monitor,North,SP2,5,192,Feb,960
59,Laptop,West,SP8,12,935,Feb,11220
60,Phone,South,SP7,8,501,Jun,4008
61,Keyboard,North,SP5,5,592,May,2960
62,Tablet,East,SP5,12,553,Feb,6636
63,Monitor,South,SP3,4,502,Feb,2008
64,Tablet,South,SP6,2,831,Mar,1662
65,Phone,South,SP11,13,225,Jun,2925
66,Monitor,North,SP2,1,992,Feb,992
67,Monitor,East,SP1,15,621,Feb,9315
68,Laptop,North,SP4,10,417,Jan,4170
69,Tablet,South,SP8,10,552,Jun,5520
70,Laptop,North,SP11,10,736,Feb,7360
71,Laptop,East,SP6,3,110,Feb,330
72,Tablet,North,SP10,12,436,Jan,5232
73,Tablet,West,SP11,6,399,May,2394
74,Tablet,North,SP4,1,1035,May,1035
75,Monitor,North,SP7,2,829,Jun,1658
76,Keyboard,South,SP11,9,206,Jun,1854
77,Phone,West,SP12,5,859,Mar,4295
78,Mouse,East,SP7,1,659,Jun,659
79,Keyboard,East,SP7,7,57,Mar,399
80,Mouse,South,SP7,12,849,Feb,10188
81,Laptop,West,SP3,7,252,Jan,1764
82,Monitor,East,SP8,13,352,Feb,4576
83,Laptop,North,SP9,3,832,Jan,2496
84,Keyboard,East,SP12,9,371,Feb,3339
85,Tablet,East,SP3,9,371,Jan,3339
86,Laptop,West,SP8,13,424,Mar,5512
87,Phone,North,SP8,6,129,May,774
88,Mouse,West,SP2,15,348,Jun,5220
89,Phone,West,SP10,14,421,Apr,5894
90,Phone,South,SP1,7,1080,Feb,7560
91,Monitor,East,SP2,3,525,Jun,1575
92,Phone,North,SP9,14,98,Jun,1372
93,Tablet,North,SP7,10,953,May,9530
94,Mouse,East,SP11,7,651,May,4557
95,Phone,West,SP7,11,772,Apr,8492
96,Keyboard,West,SP3,1,27,May,27
97,Monitor,West,SP4,8,958,Feb,7664
98,Monitor,West,SP2,2,283,Mar,566
99,Monitor,East,SP2,13,925,May,12025
100,Keyboard,North,SP1,11,286,Jan,3146
101,Mouse,East,SP12,9,183,Jan,1647
102,Keyboard,West,SP11,13,298,Jan,3874
103,Laptop,North,SP4,3,1027,Mar,3081
104,Phone,South,SP2,14,738,May,10332
105,Tablet,South,SP6,15,583,Apr,8745
106,Phone,East,SP9,15,1003,Feb,15045
107,Keyboard,East,SP10,9,506,Mar,4554
108,Tablet,North,SP4,3,846,Feb,2538
109,Mouse,East,SP11,6,791,Feb,4746
110,Tablet,North,SP9,1,756,Apr,756
111,Keyboard,North,SP5,9,827,Jun,7443
112,Tablet,East,SP7,6,319,Mar,1914
113,Tablet,North,SP8,4,381,May,1524
114,Mouse,North,SP5,14,1076,Mar,15064
115,Tablet,East,SP12,1,89,Feb,89
116,Phone,East,SP10,11,905,Apr,9955
117,Keyboard,East,SP1,3,1020,Feb,3060
118,Keyboard,North,SP1,1,25,May,25
119,Tablet,East,SP2,9,751,May,6759
120,Phone,West,SP10,5,293,Feb,1465
121,Tablet,West,SP3,3,48,Feb,144
122,Mouse,South,SP8,2,150,Jun,300
123,Phone,East,SP7,13,561,Jan,7293
124,Laptop,East,SP10,11,928,May,10208
125,Keyboard,West,SP4,3,20,Jan,60
126,Laptop,North,SP7,3,506,Feb,1518
127,Laptop,North,SP1,10,1148,Jun,11480
128,Phone,South,SP7,4,1081,May,4324
129,Mouse,West,SP10,3,1061,Mar,3183
130,Laptop,East,SP11,1,998,Jun,998
131,Keyboard,North,SP7,14,914,Jun,12796
132,Monitor,North,SP12,11,946,Feb,10406
133,Phone,North,SP5,4,99,Jan,396
134,Tablet,East,SP12,1,564,Jun,564
135,Keyboard,West,SP11,13,1091,Mar,14183
136,Tablet,South,SP2,15,1059,Jan,15885
137,Phone,East,SP4,14,435,Feb,6090
138,Mouse,East,SP4,15,816,Mar,12240
139,Keyboard,South,SP7,15,1118,Apr,16770
140,Monitor,North,SP1,7,498,May,3486
141,Tablet,South,SP7,10,179,May,1790
142,Phone,South,SP1,1,249,Jan,249
143,Keyboard,South,SP6,3,78,Jan,234
144,Laptop,South,SP12,11,107,Jun,1177
145,Laptop,North,SP2,14,764,Feb,10696
146,Keyboard,North,SP12,7,239,Feb,1673
147,Phone,South,SP2,1,90,Jun,90
148,Laptop,East,SP8,2,291,Jan,582
149,Mouse,South,SP5,6,709,Apr,4254
150,Tablet,North,SP6,5,598,Jan,2990
