date,name,breed,weight,height
2018-11-28,Charlie,Poodle,20.63,33
2019-07-03,Cooper,Beagle,19.7,33
2018-02-08,Daisy,Beagle,21.88,34
2018-04-03,Luna,Chihuahua,2.56,24
2018-08-17,Leo,Chow Chow,29.58,54
2018-02-20,Bailey,Bulldog,9.49,38
2019-03-06,Bailey,Poodle,25.3,66
2019-07-28,Cooper,Poodle,11.3,66
2019-01-17,Max,Beagle,25.53,34
2019-09-26,Rosie,Bulldog,23.89,64
2018-11-18,Coco,Husky,26.74,59
2018-11-03,Charlie,Bulldog,33.42,45
2019-08-12,Oscar,Golden Retriever,24.81,51
2018-10-22,Rosie,Chow Chow,29.84,46
2018-06-18,Rosie,German Shepherd,12.86,61
2018-02-10,Buddy,Beagle,32.47,66
2018-12-15,Oscar,German Shepherd,27.02,67
2018-03-12,Charlie,Beagle,38.23,60
2018-03-04,Bailey,Golden Retriever,28.71,58
2019-01-31,Coco,German Shepherd,8.72,59
2018-06-22,Cooper,Chow Chow,22.94,45
2018-10-22,Leo,Poodle,31.63,55
2019-05-24,Milo,Beagle,13.32,55
2018-05-21,Rosie,Boxer,35.65,47
2019-01-03,Charlie,Boxer,38.65,39
2018-06-30,Bella,Poodle,15.42,44
2019-05-12,Bella,Chow Chow,23.46,49
2018-05-30,Buddy,Boxer,25.11,69
2018-05-09,Max,Chihuahua,3.88,25
2019-04-13,Leo,Chihuahua,2.48,21
2018-04-17,Cooper,Husky,28.3,33
2018-03-10,Buddy,Bulldog,22.1,37
2019-09-08,Luna,Labrador,24.72,57
2019-01-08,Leo,Chow Chow,22.2,48
2018-06-02,Coco,Golden Retriever,38.57,68
2019-05-01,Oscar,Beagle,11.69,61
2019-05-07,Luna,Husky,17.98,39
2018-12-17,Bella,Golden Retriever,23.32,40
2018-07-30,Bella,Chihuahua,2.4,23
2019-06-25,Milo,Golden Retriever,39.31,35
2019-06-15,Daisy,German Shepherd,37.06,52
2019-06-30,Daisy,Chihuahua,3.45,20
2019-09-20,Daisy,Bulldog,33.79,55
2018-07-24,Bella,Chihuahua,2.73,15
2018-10-14,Coco,Husky,16.29,68
2019-04-03,Charlie,German Shepherd,38.56,53
2018-08-14,Buddy,Beagle,15.26,42
2018-07-29,Bella,Husky,27.97,69
2019-05-06,Luna,German Shepherd,33.59,35
2019-02-02,Rosie,Bulldog,23.3,41
2019-10-14,Oscar,German Shepherd,10.78,55
2019-02-16,Rocky,Beagle,31.19,40
2018-01-29,Rocky,Poodle,26.91,59
2019-09-19,Coco,Chow Chow,29.84,55
2018-06-09,Bella,Chihuahua,2.87,15
2019-10-28,Rosie,Beagle,24.85,38
2018-07-19,Bailey,Bulldog,8.9,43
2019-05-29,Milo,Bulldog,32.44,50
2019-07-12,Coco,Boxer,34.69,33
2019-04-15,Rosie,Chow Chow,28.52,53
2019-05-29,Bella,Poodle,25.02,63
2019-03-27,Lucy,Poodle,27.47,39
2018-05-25,Max,Husky,27.81,37
2018-11-30,Luna,Chihuahua,2.83,22
2019-07-28,Max,Labrador,25.74,59
2018-04-11,Charlie,Chihuahua,2.63,15
2019-03-30,Cooper,German Shepherd,27.6,62
2019-12-11,Stella,Golden Retriever,22.48,64
2019-06-04,Cooper,Bulldog,30.37,46
2019-04-04,Oscar,Poodle,21.33,55
2018-11-20,Charlie,Beagle,29.48,57
2018-08-06,Coco,Golden Retriever,33.09,39
2018-05-27,Daisy,Golden Retriever,36.25,59
2018-04-07,Daisy,Boxer,36.32,40
2018-06-15,Buddy,Boxer,39.81,55
2019-03-08,Coco,Bulldog,19.41,35
2018-01-20,Bella,German Shepherd,25.73,58
2019-01-29,Charlie,German Shepherd,24.56,48
2018-04-26,Charlie,Bulldog,39.09,36
2018-09-29,Milo,Golden Retriever,9.27,41
2018-05-13,Leo,Boxer,35.19,46
2018-06-02,Stella,Chihuahua,3.8,24
2019-12-19,Lucy,German Shepherd,10.86,33
2019-03-12,Charlie,Beagle,16.61,31
2018-09-24,Charlie,Beagle,27.46,44
2018-09-28,Rosie,Beagle,22.52,51
2018-10-02,Daisy,Chow Chow,23.03,53
2018-04-23,Cooper,Poodle,16.38,41
2018-11-16,Bailey,Golden Retriever,24.99,43
2019-04-02,Coco,Chihuahua,3.18,19
2018-01-19,Cooper,Golden Retriever,9.18,31
2019-06-11,Luna,Husky,15.86,58
2019-11-06,Leo,Boxer,29.01,64
2019-06-03,Buddy,Golden Retriever,30.01,44
2018-07-23,Max,Poodle,20.95,52
2018-05-13,Rosie,Labrador,24.5,59
2018-06-17,Bailey,Labrador,24.59,61
2019-09-06,Oscar,Bulldog,30.17,32
2018-07-09,Milo,Poodle,16.61,30
2019-01-08,Buddy,German Shepherd,39.12,65
2018-09-08,Cooper,Labrador,30.76,59
2019-01-01,Charlie,Poodle,8.03,54
2019-05-02,Daisy,Golden Retriever,24.09,42
2019-06-01,Rocky,Labrador,24.64,56
2019-02-14,Bailey,Chow Chow,22.33,45
2018-11-08,Rocky,Bulldog,10.7,63
2019-11-05,Stella,Chow Chow,25.12,50
2018-06-03,Max,Golden Retriever,31.17,39
