date,name,breed,color,weight_kg,height_cm
2019-04-09,Oscar,Chihuahua,Golden,3.64,22
2018-07-09,Lucy,Chihuahua,White,2.69,24
2019-04-03,Max,Golden Retriever,Black & White,12.54,64
2019-04-09,Bella,Chow Chow,White,27.2,54
2018-03-02,Bella,Labrador,Brown & White,25.33,58
2018-12-01,Daisy,Husky,Cream,26.91,42
2019-05-27,Milo,Labrador,Black & White,28.64,62
2019-07-19,Daisy,Beagle,Cream,30.65,50
2018-01-31,Leo,Beagle,White,26.02,36
2018-10-25,Bella,Boxer,Golden,10.14,31
2018-08-03,Rosie,Labrador,White,27.29,61
2019-08-03,Buddy,Bulldog,White,32.91,47
2018-11-15,Luna,German Shepherd,Brown,8.48,56
2018-09-10,Stella,Beagle,Brown,8.35,59
2019-11-30,Cooper,Chihuahua,Brown,1.97,23
2019-03-06,Cooper,Boxer,Black,11.73,56
2018-10-04,Cooper,Chow Chow,Brown,24.43,45
2019-02-08,Max,Chow Chow,Brown,27.13,46
2018-08-07,Buddy,Husky,Cream,16.26,69
2019-01-31,Daisy,Beagle,Black,10.38,43
2019-09-08,Rocky,German Shepherd,Brown & White,19.89,59
2019-08-12,Rocky,Poodle,Cream,35.73,41
2018-08-22,Lucy,Chow Chow,Golden,24.0,48
2019-12-05,Charlie,Boxer,Black & White,36.23,68
2018-02-18,Milo,Beagle,Golden,11.49,62
2019-12-23,Stella,Boxer,Cream,16.22,68
2019-06-17,Rocky,Poodle,Golden,37.74,34
2019-05-06,Charlie,Chihuahua,Cream,3.13,24
2018-08-06,Milo,Bulldog,Black & White,31.97,34
2019-04-02,Bailey,Bulldog,Gray,9.93,41
2019-06-28,Coco,Chow Chow,Brown,29.78,46
2019-04-07,Rocky,German Shepherd,Black,29.02,63
2018-01-19,Max,Husky,Black,37.13,49
2019-09-05,Buddy,Beagle,Brown,23.43,49
2018-03-16,Max,Beagle,Brown,22.5,53
2018-12-16,Charlie,German Shepherd,Black & White,10.72,60
2018-01-31,Leo,Husky,Black & White,26.33,69
2019-08-20,Charlie,Labrador,White,28.26,56
2018-09-21,Oscar,Boxer,Brown & White,31.3,54
2019-04-19,Bella,Chihuahua,Cream,1.71,23
2019-09-08,Luna,Beagle,Brown & White,23.39,44
2019-09-22,Coco,Husky,Cream,16.19,30
2018-05-27,Buddy,Chow Chow,Brown & White,23.62,47
2019-05-26,Cooper,Bulldog,Black & White,18.46,46
2018-07-25,Buddy,Bulldog,Golden,20.3,67
2018-05-20,Charlie,Poodle,Cream,23.89,32
2018-06-23,Cooper,Beagle,Black & White,22.42,47
2019-01-27,Oscar,Chihuahua,Gray,2.73,20
2018-03-18,Milo,Labrador,Gray,25.95,55
2018-11-13,Leo,Chow Chow,Brown & White,22.15,47
2018-07-14,Daisy,Labrador,Brown,29.38,59
2018-02-18,Coco,Beagle,White,22.29,70
2019-12-02,Milo,Bulldog,Brown,14.38,60
2018-01-12,Lucy,Husky,Golden,25.12,32
2018-10-06,Lucy,German Shepherd,Black & White,25.27,63
2019-12-18,Rocky,Bulldog,Brown & White,10.79,54
2019-04-10,Leo,Bulldog,Gray,28.02,30
2019-04-20,Luna,German Shepherd,White,28.84,43
2018-08-07,Bailey,Bulldog,Gray,36.8,35
2018-09-26,Max,Labrador,Brown & White,26.44,56
2018-12-17,Stella,Chihuahua,Black,2.55,19
2018-08-12,Lucy,Beagle,Gray,21.73,32
2019-12-05,Oscar,Poodle,Brown & White,23.06,63
2019-08-16,Bailey,Beagle,Brown,32.25,58
2019-06-20,Milo,Chihuahua,Cream,3.61,23
2019-11-19,Cooper,Boxer,Cream,38.55,69
2018-05-25,Stella,Chihuahua,Golden,2.81,24
2019-02-25,Leo,Chihuahua,Black,1.79,15
2019-07-06,Luna,Labrador,Brown & White,27.61,61
2018-04-06,Oscar,Poodle,Black & White,10.11,64
2019-02-18,Rocky,Golden Retriever,Gray,15.88,61
2019-03-21,Cooper,Husky,Black & White,24.8,36
2019-09-25,Bella,Labrador,Black,30.48,57
2018-07-18,Buddy,Poodle,Gray,15.27,48
2018-09-08,Luna,Chow Chow,Cream,25.99,52
2018-07-22,Leo,Chihuahua,Black & White,3.7,15
2019-06-27,Cooper,Chow Chow,Golden,23.28,48
2019-07-10,Daisy,Chow Chow,Gray,26.69,47
2018-07-05,Cooper,German Shepherd,Golden,27.3,42
2018-04-10,Charlie,Poodle,Cream,36.45,38
2019-02-02,Rocky,Beagle,Golden,21.91,56
2019-02-17,Coco,Labrador,White,24.67,60
2019-12-23,Cooper,Chihuahua,White,3.09,20
2019-05-09,Stella,Beagle,Brown,8.78,65
2018-07-14,Lucy,Poodle,Cream,11.68,41
2019-11-21,Oscar,Beagle,White,26.55,38
2018-04-10,Coco,German Shepherd,Black & White,20.51,57
2018-08-04,Max,Chow Chow,Golden,24.99,55
2018-07-05,Leo,Boxer,Golden,22.53,53
2019-09-12,Buddy,Poodle,White,11.03,30
2019-12-23,Buddy,Boxer,Cream,26.23,42
2018-10-14,Leo,Beagle,Brown,31.82,40
2018-12-04,Lucy,Chihuahua,Black & White,3.24,21
2018-07-31,Bailey,Poodle,Brown & White,10.26,51
2018-04-14,Daisy,Labrador,Cream,30.22,55
2019-11-14,Lucy,Golden Retriever,White,18.81,55
2019-02-03,Cooper,Chihuahua,White,4.0,25
2019-02-09,Luna,Chow Chow,Golden,22.18,54
2018-09-20,Cooper,Husky,Black & White,20.85,33
2018-01-12,Buddy,Beagle,Black & White,16.27,47
2019-06-18,Oscar,Chow Chow,White,28.77,46
2019-07-17,Leo,Chow Chow,Brown,27.35,45
2019-01-31,Max,Husky,Black & White,39.04,61
2019-05-22,Bailey,Boxer,Gray,17.1,55
2019-06-28,Bailey,Golden Retriever,Cream,23.46,47
2018-01-28,Lucy,Labrador,Black & White,29.41,55
2019-12-02,Leo,Boxer,Black,9.69,50
2019-08-19,Rosie,German Shepherd,Brown & White,10.35,44
2018-09-14,Oscar,Bulldog,Brown,9.45,36
2018-09-09,Rosie,Chow Chow,Brown & White,27.65,45
2018-05-01,Rocky,Bulldog,White,35.56,52
2019-01-08,Oscar,Husky,Cream,12.47,56
2019-10-17,Rocky,Chow Chow,Cream,27.46,50
2018-05-12,Bailey,Bulldog,Gray,23.4,62
2018-10-09,Cooper,Golden Retriever,Cream,27.51,66
2018-09-03,Cooper,Bulldog,Black,38.46,62
2019-10-06,Rosie,Labrador,Black,24.07,59
2019-10-01,Charlie,Labrador,White,24.72,59
2019-11-24,Coco,Poodle,Brown & White,25.62,70
2019-05-06,Stella,German Shepherd,Brown,14.74,51
2018-03-18,Cooper,Beagle,Brown & White,22.31,69
2019-03-11,Coco,Golden Retriever,Brown,20.48,39
2019-11-01,Lucy,Chow Chow,Black & White,24.6,53
2019-11-01,Buddy,German Shepherd,White,26.58,59
2019-07-11,Stella,Beagle,Brown & White,21.82,66
2018-11-03,Charlie,Labrador,Cream,24.53,58
2019-05-22,Daisy,German Shepherd,Gray,17.05,39
2019-11-05,Buddy,German Shepherd,Brown & White,19.72,37
2019-08-06,Milo,Chow Chow,Brown & White,29.35,55
2019-06-27,Leo,Golden Retriever,Golden,22.66,44
2018-03-28,Coco,German Shepherd,Black & White,34.51,31
2019-08-22,Coco,Boxer,Black & White,33.48,66
2019-07-08,Lucy,Poodle,Brown,34.76,66
2018-04-02,Bella,Husky,Golden,36.19,48
2019-06-13,Bella,Labrador,Black & White,27.81,59
2018-03-07,Charlie,Chow Chow,Gray,26.37,53
2018-03-25,Charlie,Golden Retriever,Black,31.59,50
2019-10-12,Daisy,Poodle,Golden,11.12,57
2019-05-16,Leo,Chihuahua,Gray,2.35,22
2018-12-12,Stella,German Shepherd,White,29.52,61
2019-12-27,Coco,Chow Chow,Black,29.32,51
2019-01-23,Bella,Beagle,Gray,36.44,64
2019-12-29,Rosie,Labrador,Brown,29.62,61
2018-09-09,Lucy,Poodle,Gray,39.71,54
2018-07-29,Milo,Boxer,Black,21.6,48
2019-04-28,Rocky,Golden Retriever,Brown,31.38,49
2018-03-05,Max,Husky,Gray,8.55,60
2018-04-22,Daisy,Bulldog,Brown & White,13.91,43
2019-09-02,Milo,Chihuahua,Black & White,2.06,17
2018-06-26,Stella,Golden Retriever,Cream,28.06,65
2019-05-12,Charlie,Boxer,Brown & White,37.26,51
2018-08-15,Leo,Boxer,Cream,9.59,38
2018-03-01,Coco,Bulldog,Brown & White,36.55,60
2018-09-10,Rosie,Boxer,Brown,27.39,40
2018-11-26,Rocky,Poodle,Cream,16.3,63
2019-06-13,Lucy,Chihuahua,Black,1.63,24
2018-07-29,Coco,Poodle,Cream,34.31,35
2019-09-22,Oscar,Chihuahua,White,1.74,22
2019-08-24,Bella,Chihuahua,Golden,3.64,19
2019-03-03,Oscar,Bulldog,Golden,37.34,35
2018-02-08,Lucy,Chihuahua,Cream,2.53,22
2018-11-20,Bailey,Golden Retriever,Brown & White,20.97,65
2019-11-15,Luna,Beagle,Black & White,19.51,38
2019-11-24,Oscar,Husky,Black,31.89,37
2019-01-22,Luna,Husky,Brown & White,15.6,66
2018-01-11,Bailey,Bulldog,Black & White,36.85,39
2019-07-07,Charlie,Golden Retriever,Cream,38.53,55
2018-07-13,Buddy,Bulldog,Cream,20.05,37
2018-10-08,Buddy,Chow Chow,Brown & White,25.76,55
2019-01-27,Luna,Beagle,Brown,11.26,69
2019-11-25,Max,Poodle,Brown & White,13.76,55
2019-08-30,Lucy,Beagle,White,11.21,32
2019-03-21,Rosie,Boxer,Brown,32.68,51
2019-10-25,Stella,Bulldog,Gray,32.54,54
2019-02-27,Buddy,Chow Chow,Golden,22.12,51
2019-11-08,Buddy,Chow Chow,Golden,26.24,49
2018-12-17,Leo,Golden Retriever,Golden,28.82,36
2019-06-06,Lucy,German Shepherd,Cream,33.23,36
2019-07-06,Rocky,Golden Retriever,Golden,25.54,52
2019-06-13,Cooper,Bulldog,White,26.16,31
2018-05-20,Buddy,Bulldog,Gray,23.29,56
2018-04-04,Oscar,German Shepherd,Brown,16.52,37
2018-09-02,Charlie,Chow Chow,Cream,26.35,53
2018-06-22,Bella,German Shepherd,Cream,27.25,37
2019-12-03,Coco,German Shepherd,Brown,15.71,66
2018-07-10,Oscar,Chow Chow,Black,26.38,46
2019-02-18,Bailey,Poodle,Black & White,33.05,38
2019-09-22,Lucy,Chow Chow,Golden,27.12,45
2019-02-26,Leo,Husky,White,9.06,63
2019-08-07,Rocky,Boxer,Cream,13.56,63
2018-09-07,Max,Chow Chow,Brown,29.45,45
2019-02-17,Coco,Husky,Black & White,27.2,60
2019-10-01,Stella,Chow Chow,Brown & White,28.06,49
2019-12-08,Luna,Boxer,Gray,34.4,37
2019-06-22,Buddy,Chihuahua,Black,2.58,15
2018-10-31,Leo,Chow Chow,Gray,29.2,56
2018-11-09,Luna,Chow Chow,Brown & White,29.02,48
2018-09-06,Stella,Chihuahua,White,3.68,15
2019-06-23,Daisy,Bulldog,White,25.44,55
2019-11-13,Lucy,German Shepherd,Golden,35.73,56
2019-10-28,Luna,Boxer,Brown,26.14,34
2018-05-07,Bella,Chihuahua,Cream,2.94,22
2018-09-07,Charlie,Golden Retriever,Brown & White,8.77,41
2019-04-06,Daisy,Chihuahua,Black,2.49,20
2018-11-10,Bailey,Labrador,Gray,27.18,60
2019-05-26,Cooper,Poodle,Golden,37.89,60
2018-10-30,Stella,Labrador,Black,25.37,60
2018-06-26,Daisy,Chihuahua,Golden,2.01,25
2018-02-21,Milo,Beagle,Black & White,17.79,50
2020-01-01,Rosie,Poodle,White,18.72,58
2018-06-23,Cooper,Bulldog,Cream,35.57,37
2018-07-05,Milo,Bulldog,Gray,24.05,48
2019-11-09,Daisy,Chihuahua,Cream,3.71,24
2018-07-04,Charlie,Bulldog,Brown & White,16.86,70
2018-03-20,Max,Husky,Black,37.35,34
2019-09-07,Rosie,Chow Chow,White,24.28,49
2018-06-18,Daisy,Golden Retriever,Brown,39.63,42
2018-10-13,Max,Chihuahua,Brown & White,1.57,17
2019-08-22,Max,Boxer,Brown,8.09,61
2018-03-07,Buddy,Chihuahua,Brown & White,3.44,20
2018-02-02,Lucy,Chihuahua,Brown,2.23,25
2018-04-25,Oscar,Chow Chow,Cream,25.48,55
2018-08-30,Stella,Golden Retriever,Cream,23.65,44
2018-02-06,Oscar,Bulldog,Brown,27.1,33
2018-11-29,Stella,Poodle,Black & White,27.47,68
2019-05-31,Charlie,Husky,White,31.14,31
2018-07-02,Daisy,Chow Chow,Brown,27.12,54
2018-02-25,Milo,Golden Retriever,Brown & White,21.61,50
2018-04-01,Daisy,Chihuahua,Brown,1.93,19
2019-05-24,Buddy,Chow Chow,Black & White,28.29,45
2019-04-24,Rocky,German Shepherd,Brown & White,30.36,32
2019-09-08,Max,Poodle,Black,12.63,59
2018-09-04,Charlie,Boxer,Black & White,36.48,39
2019-07-24,Max,Golden Retriever,Golden,23.1,34
2018-10-30,Rosie,Golden Retriever,Brown & White,11.8,45
2018-03-30,Cooper,Bulldog,Black,19.65,51
2018-06-14,Buddy,Boxer,Brown,26.73,33
2019-04-19,Leo,Boxer,Black & White,37.93,43
2018-02-20,Lucy,Bulldog,Brown,21.39,45
2019-05-07,Oscar,Bulldog,Cream,20.81,68
