order_id,product,region,salesperson,quantity,unit_price,month,total_amount
1,Keyboard,West,SP5,15.0,25.0,May,375.0
2,Keyboard,East,SP5,12.0,40.0,Feb,480.0
3,Monitor,South,SP4,15.0,100.0,Oct,1500.0
4,Laptop,East,SP2,7.0,500.0,,3500.0
5,Mouse,South,SP3,16.0,60.0,Aug,960.0
6,Monitor,East,SP1,14.0,25.0,Jul,350.0
7,Printer,North,SP2,20.0,40.0,Apr,800.0
8,Laptop,West,SP2,8.0,60.0,,480.0
9,Mouse,West,SP3,11.0,40.0,Dec,440.0
10,Printer,South,SP2,17.0,25.0,Aug,425.0
11,Laptop,East,SP4,12.0,500.0,Nov,6000.0
12,Monitor,,SP4,7.0,60.0,May,420.0
13,Keyboard,South,SP3,9.0,40.0,Sep,360.0
14,Laptop,North,SP2,2.0,25.0,Jan,50.0
15,Printer,West,SP4,3.0,25.0,Jul,75.0
16,Laptop,West,SP2,2.0,100.0,Aug,200.0
17,Laptop,East,SP5,12.0,500.0,Nov,6000.0
18,Printer,South,SP2,18.0,40.0,Jun,720.0
19,Laptop,South,SP4,10.0,200.0,Nov,2000.0
20,Printer,East,SP1,17.0,100.0,May,1700.0
21,Mouse,East,SP5,8.0,500.0,Mar,4000.0
22,Laptop,West,SP2,5.0,100.0,Jan,500.0
23,Printer,East,SP2,5.0,500.0,Oct,2500.0
24,Mouse,West,SP2,8.0,100.0,Sep,800.0
25,Monitor,South,SP2,18.0,40.0,Feb,720.0
26,Mouse,West,SP2,17.0,100.0,Nov,1700.0
27,Monitor,South,SP2,17.0,200.0,May,3400.0
28,Laptop,West,SP1,15.0,60.0,Jul,900.0
29,Printer,East,SP4,5.0,60.0,Dec,300.0
30,Printer,East,SP5,12.0,200.0,Sep,2400.0
31,Mouse,South,SP1,18.0,40.0,Sep,720.0
32,Mouse,South,SP4,5.0,500.0,Sep,2500.0
33,Keyboard,North,SP4,17.0,25.0,Jul,425.0
34,Monitor,West,SP5,15.0,25.0,Dec,375.0
35,Printer,East,SP4,11.0,60.0,Dec,660.0
36,Laptop,East,SP4,16.0,500.0,Dec,8000.0
37,Monitor,North,SP4,15.0,100.0,Aug,1500.0
38,Printer,East,SP5,20.0,25.0,Jul,500.0
39,Monitor,West,SP4,18.0,40.0,Jun,720.0
40,Laptop,East,SP1,10.0,25.0,Feb,250.0
41,Mouse,North,SP5,3.0,25.0,Feb,75.0
42,Mouse,West,SP4,19.0,100.0,Sep,1900.0
43,Printer,North,SP4,2.0,200.0,Dec,400.0
44,Keyboard,South,SP1,10.0,500.0,Nov,5000.0
45,,East,SP5,5.0,60.0,Mar,300.0
46,Printer,East,SP4,13.0,40.0,Dec,520.0
47,Monitor,West,SP2,13.0,500.0,Oct,6500.0
48,Keyboard,East,SP2,17.0,25.0,May,425.0
49,Printer,North,SP5,5.0,200.0,Mar,1000.0
50,Laptop,North,SP4,1.0,40.0,Jul,40.0
51,Keyboard,South,SP2,11.0,200.0,Oct,2200.0
52,Keyboard,South,SP2,20.0,40.0,Nov,800.0
53,Monitor,North,SP4,6.0,100.0,Jan,600.0
54,Keyboard,South,SP5,18.0,60.0,Oct,1080.0
55,Printer,South,SP2,14.0,200.0,Jul,2800.0
56,Laptop,West,SP4,3.0,60.0,Mar,180.0
57,Printer,East,SP4,4.0,200.0,Jun,800.0
58,Keyboard,East,SP4,16.0,60.0,Dec,960.0
59,Monitor,South,SP2,9.0,60.0,Jun,540.0
60,Mouse,North,SP5,11.0,100.0,May,1100.0
61,Printer,West,SP2,5.0,60.0,Jan,300.0
62,Keyboard,East,SP5,3.0,500.0,Sep,1500.0
63,Keyboard,South,SP1,11.0,500.0,Nov,5500.0
64,Mouse,South,SP3,12.0,200.0,Dec,2400.0
65,Printer,North,SP4,13.0,40.0,Jul,520.0
66,Mouse,East,SP4,10.0,200.0,May,2000.0
67,Keyboard,North,SP1,10.0,25.0,Oct,250.0
68,Printer,South,SP4,12.0,25.0,Nov,300.0
69,Monitor,South,SP4,20.0,60.0,Jun,1200.0
70,Laptop,South,SP5,17.0,500.0,Mar,8500.0
71,Laptop,East,SP3,9.0,100.0,Nov,900.0
72,Monitor,East,SP4,2.0,200.0,May,400.0
73,Keyboard,East,SP3,7.0,25.0,,175.0
74,Laptop,West,SP2,9.0,200.0,Jan,1800.0
75,Keyboard,West,SP4,20.0,500.0,Mar,10000.0
76,Printer,East,SP3,20.0,40.0,Aug,800.0
77,Mouse,North,SP5,9.0,200.0,Nov,1800.0
78,Mouse,North,SP5,10.0,60.0,Jan,600.0
79,Laptop,South,SP4,20.0,200.0,Dec,4000.0
80,Printer,West,SP2,8.0,60.0,May,480.0
81,Keyboard,West,SP4,12.0,100.0,Dec,1200.0
82,Printer,West,SP4,14.0,60.0,Aug,840.0
